lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
4839.0,148.0,199.0,258.0,258.0,318.0,103.7039,100.5796,56.356,68.0074,69.5449,258.0,258.0,0.0,536.0,0.1661,0.1916,0.0147,1,4,1
4998.0,153.0,159.0,179.0,179.0,239.0,48.1274,114.7661,106.7333,57.1183,54.0393,179.0,179.0,0.0,477.0,0.1246,0.1771,0.0149,4,1,1
5131.0,155.0,119.0,219.0,219.0,99.0,265.4642,174.4484,304.1085,42.1545,39.8779,219.0,219.0,0.0,0.0,-0.0102,0.2938,0.0197,7,1,0
2537.0,78.0,120.0,379.0,379.0,359.0,1600.9859,1098.318,403.1241,1300.849,1266.7849,379.0,379.0,22514.0,817.0,1.1015,0.948,0.0096,10,4,0
2525.0,78.0,219.0,399.0,598.0,239.0,163.3065,116.9241,155.029,5.0,101.9865,598.0,299.0,2650.0,0.0,0.9915,0.9915,0.0151,10,8,0
3095.0,94.0,399.0,319.0,319.0,20.0,51.4782,72.4189,50.9313,7.5166,34.7311,319.0,319.0,0.0,0.0,0.9811,1.9801,0.0537,1,3,1
10234.0,311.0,99.0,119.0,119.0,199.0,370.3245,683.3039,294.2414,76.1643,66.3702,119.0,119.0,0.0,0.0,0.1637,0.1822,0.0149,7,7,0
3180.0,97.0,219.0,20.0,20.0,199.0,169.4993,179.1382,88.2383,97.2137,78.1857,219.0,219.0,577.0,697.0,0.1026,1.7931,0.0423,2,2,0
7495.0,229.0,139.0,80.0,160.0,159.0,62.3899,122.084,119.9708,99.1413,104.9952,160.0,80.0,0.0,0.0,0.3057,0.1847,0.023,9,1,1
6773.0,203.0,99.0,179.0,179.0,139.0,557.0613,189.6905,714.0063,159.0739,136.7708,179.0,179.0,0.0,358.0,0.0179,0.1124,0.0184,4,1,0
6751.0,202.0,119.0,99.0,99.0,99.0,494.2277,177.5451,574.0949,86.5592,83.1039,99.0,99.0,0.0,0.0,0.3289,0.6429,0.0313,8,3,0
3989.0,129.0,239.0,199.0,199.0,139.0,93.8416,394.7851,104.4462,40.3764,45.0139,199.0,199.0,0.0,0.0,0.0941,0.1886,0.0174,1,1,1
7163.0,219.0,139.0,238.0,238.0,80.0,280.5303,487.0657,365.8866,80.0391,61.0123,238.0,238.0,0.0,0.0,0.0636,0.0596,0.0379,6,1,0
4386.0,136.0,139.0,418.0,418.0,99.0,121.878,116.0172,60.0333,71.5891,78.6018,418.0,418.0,835.0,1153.0,0.4907,0.4907,0.0156,7,2,1
5867.0,174.0,179.0,139.0,139.0,179.0,101.7767,70.0874,41.2311,59.7097,73.8546,239.0,239.0,0.0,239.0,0.1175,0.0775,0.024,3,3,0
5897.0,175.0,199.0,159.0,159.0,199.0,78.2624,257.0627,145.0138,52.2805,57.5087,219.0,219.0,0.0,219.0,0.0125,0.054,0.0362,4,3,0
6176.0,182.0,298.0,199.0,199.0,119.0,130.0779,78.5064,131.9735,16.14,16.0078,239.0,239.0,0.0,239.0,0.0096,0.1061,0.0296,2,3,0
4563.0,142.0,179.0,258.0,258.0,239.0,249.3657,224.5674,172.4181,75.0816,73.9003,258.0,258.0,0.0,0.0,0.0932,-0.0303,0.0185,1,4,1
6450.0,191.0,139.0,80.0,80.0,139.0,442.5636,41.5482,439.0558,12.1758,25.1247,80.0,80.0,139.0,0.0,0.3189,0.3484,0.0171,2,5,1
9779.0,301.0,159.0,199.0,199.0,159.0,555.502,621.9518,437.0103,115.2128,102.6024,199.0,199.0,0.0,0.0,0.279,0.289,0.023,7,6,1
1278.0,41.0,179.0,139.0,139.0,139.0,53.3385,151.7383,98.1835,75.5017,77.6611,139.0,139.0,1271.0,0.0,0.0487,0.1167,0.0148,3,1,0
9652.0,297.0,99.0,100.0,100.0,80.0,239.4394,745.7883,237.6826,7.8262,28.0179,100.0,100.0,0.0,0.0,0.1861,0.1476,0.0194,7,7,0
8583.0,272.0,239.0,199.0,199.0,179.0,76.4199,65.9109,88.4816,44.6346,59.0021,199.0,199.0,0.0,0.0,0.1627,0.3817,0.0736,5,1,1
4273.0,135.0,179.0,199.0,378.0,278.0,621.5002,155.6478,846.605,234.8111,17.6777,378.0,189.0,0.0,895.0,0.021,0.2775,0.0234,4,2,1
7196.0,220.0,199.0,179.0,179.0,139.0,1500.8852,218.7287,406.0788,50.1423,41.4367,179.0,179.0,0.0,219.0,0.1876,0.1876,0.0393,9,5,0
3065.0,93.0,199.0,199.0,199.0,219.0,262.1893,84.3579,158.4929,106.0047,88.6933,199.0,199.0,0.0,0.0,-0.2609,-0.0379,0.0151,4,4,0
7282.0,223.0,338.0,199.0,199.0,119.0,115.9105,196.4306,110.7655,44.6374,54.0833,199.0,199.0,0.0,0.0,0.4003,0.5098,0.0477,5,1,1
5564.0,166.0,159.0,238.0,914.0,99.0,273.6585,324.0004,350.297,69.7585,162.0069,914.0,228.5,0.0,0.0,0.069,0.069,0.0684,5,1,0
3488.0,107.0,119.0,99.0,99.0,99.0,523.7771,458.6897,460.213,68.9148,72.1006,99.0,99.0,0.0,0.0,0.2753,0.2753,0.0298,8,5,1
5548.0,166.0,139.0,179.0,179.0,159.0,61.0184,127.5353,31.305,52.7944,59.1037,179.0,179.0,0.0,0.0,0.0495,0.166,0.0134,1,3,1
3051.0,93.0,179.0,558.0,558.0,160.0,621.1258,196.3982,736.6315,111.5404,84.4334,558.0,558.0,0.0,498.0,0.8051,0.8061,0.0423,3,1,0
9954.0,306.0,99.0,199.0,199.0,219.0,282.0044,117.3382,195.1666,84.5015,65.4905,199.0,199.0,219.0,792.0,0.1465,0.1755,0.0133,1,6,0
2745.0,83.0,359.0,259.0,259.0,199.0,249.6808,137.5009,332.9399,83.4416,52.0601,379.0,379.0,0.0,379.0,1.3035,0.9525,0.0379,10,1,0
5132.0,155.0,219.0,99.0,99.0,179.0,174.4484,66.4831,147.3635,40.7001,52.5595,99.0,99.0,398.0,0.0,0.0693,0.2938,0.0089,7,3,0
2617.0,78.0,379.0,279.0,279.0,339.0,190.983,177.799,147.299,87.6427,68.0165,399.0,399.0,0.0,399.0,1.2395,2.0375,0.0101,8,4,1
7288.0,223.0,139.0,139.0,278.0,99.0,257.7072,585.7184,366.3796,141.2887,75.4072,278.0,139.0,0.0,0.0,0.5098,0.4313,0.0666,10,1,0
5123.0,155.0,199.0,179.0,179.0,179.0,542.6272,56.1427,571.4867,32.2684,16.8077,179.0,179.0,179.0,99.0,0.0593,0.0443,0.0161,5,2,1
3139.0,96.0,199.0,259.0,259.0,120.0,96.3146,166.818,56.356,66.3871,92.8574,259.0,259.0,0.0,0.0,1.0991,1.1741,0.0333,1,4,0
2379.0,75.0,20.0,379.0,379.0,219.0,56.921,143.0219,157.4929,100.7286,76.8001,379.0,379.0,0.0,0.0,0.6407,-0.0498,0.0391,4,1,1
5501.0,165.0,119.0,318.0,318.0,179.0,270.2041,85.5015,272.3417,10.5119,21.0238,318.0,318.0,179.0,0.0,0.0825,0.133,0.0332,1,4,0
7666.0,236.0,258.0,278.0,278.0,159.0,277.3793,213.7832,182.3321,91.1373,103.4372,278.0,278.0,239.0,437.0,0.2451,0.3791,0.0279,9,3,0
7859.0,242.0,179.0,139.0,139.0,80.0,138.0906,159.9445,62.8172,92.2835,83.182,139.0,139.0,0.0,0.0,0.0843,0.2213,0.0317,4,2,1
2917.0,89.0,20.0,179.0,179.0,199.0,159.695,110.8388,199.3615,65.025,38.5649,279.0,279.0,737.0,0.0,0.9212,0.8442,0.0424,3,2,0
2305.0,73.0,239.0,259.0,259.0,179.0,1242.8175,181.7973,96.0052,5.7009,45.5412,259.0,259.0,0.0,0.0,1.8012,1.8132,0.016,9,2,1
1376.0,43.0,179.0,159.0,159.0,139.0,112.9004,111.1002,104.3456,19.2354,29.6015,159.0,159.0,0.0,159.0,0.0292,0.0467,0.0132,3,5,1
3061.0,93.0,160.0,279.0,279.0,279.0,119.7633,91.0343,91.4822,49.9925,57.9159,219.0,219.0,2091.0,219.0,0.4211,-0.0379,0.0166,3,4,0
6817.0,204.0,80.0,100.0,239.0,139.0,134.3317,117.5383,183.3085,58.7133,71.5017,239.0,119.5,0.0,378.0,0.2184,0.3464,0.0495,2,1,0
3369.0,103.0,80.0,119.0,119.0,119.0,254.0177,159.4091,352.1491,104.7294,113.9496,119.0,119.0,0.0,0.0,0.0955,0.248,0.0166,3,1,0
4747.0,146.0,159.0,159.0,159.0,258.0,584.8216,296.1271,609.6589,28.8487,45.401,159.0,159.0,794.0,0.0,0.2386,0.3426,0.0181,8,4,1
8072.0,251.0,159.0,139.0,358.0,139.0,293.5106,427.7341,244.1311,52.9528,22.5222,358.0,119.3333,0.0,0.0,0.0073,0.2033,0.0741,6,5,0
1913.0,60.0,179.0,80.0,80.0,99.0,99.4409,106.4918,103.2376,48.8185,54.4541,80.0,80.0,0.0,0.0,0.2239,0.2724,0.0387,7,1,0
3494.0,108.0,119.0,80.0,80.0,139.0,173.1509,168.2149,113.4416,73.1095,76.1183,80.0,80.0,0.0,0.0,0.3998,0.2633,0.0154,2,3,0
1379.0,43.0,159.0,179.0,179.0,258.0,237.5132,111.7229,362.0787,139.6755,134.1576,179.0,179.0,5921.0,358.0,0.0467,0.0467,0.0148,1,1,1
6021.0,178.0,139.0,238.0,238.0,139.0,369.5487,184.5704,335.4311,41.7732,29.1247,238.0,238.0,0.0,0.0,0.0961,0.2561,0.0177,7,3,1
1811.0,57.0,100.0,119.0,119.0,159.0,58.2001,96.6049,143.8402,82.7118,78.0897,119.0,119.0,0.0,119.0,0.2743,0.1739,0.0133,9,1,1
8477.0,267.0,139.0,99.0,337.0,99.0,101.8541,117.3382,144.0625,92.1792,44.78,337.0,168.5,0.0,0.0,0.1932,0.5592,0.067,6,1,1
9492.0,293.0,99.0,139.0,139.0,139.0,48.9311,250.5718,83.7257,54.1341,59.5525,80.0,80.0,0.0,876.0,0.1306,0.0661,0.0056,6,2,1
5332.0,161.0,199.0,219.0,219.0,119.0,153.5985,481.1138,155.5635,9.3005,29.0043,219.0,219.0,0.0,0.0,0.0742,0.1572,0.0264,1,6,0
9434.0,292.0,139.0,179.0,179.0,99.0,262.0386,522.6399,164.5965,98.1147,90.5994,179.0,179.0,0.0,0.0,0.1286,0.1771,0.0359,6,5,1
5757.0,171.0,179.0,99.0,99.0,278.0,29.5042,141.718,35.4401,42.1456,34.5145,99.0,99.0,536.0,258.0,0.0855,0.122,0.01,1,3,1
5916.0,176.0,358.0,179.0,179.0,139.0,115.088,56.2694,32.1403,86.7078,114.5044,179.0,179.0,0.0,0.0,0.1201,0.0976,0.0233,2,3,0
9354.0,290.0,139.0,119.0,119.0,219.0,215.0913,578.1544,295.4116,93.1585,99.2472,119.0,119.0,0.0,0.0,0.0852,0.2062,0.0173,3,1,0
475.0,14.0,219.0,119.0,119.0,119.0,43.2695,88.8876,91.7061,50.4207,56.943,119.0,119.0,0.0,0.0,0.1543,0.5623,0.014,9,1,1
2250.0,72.0,0.0,159.0,159.0,279.0,726.0062,150.5033,833.3097,111.0552,117.1676,359.0,359.0,0.0,0.0,-0.4286,-0.1566,0.0541,3,1,0
9957.0,306.0,199.0,278.0,278.0,139.0,91.3154,200.2255,163.1502,75.738,77.0584,278.0,278.0,0.0,1870.0,0.1755,0.2,0.0186,2,1,1
3471.0,107.0,0.0,100.0,180.0,159.0,0.0,135.559,0.0,95.6896,90.6697,180.0,90.0,0.0,0.0,0.3818,0.3513,0.0542,4,1,0
5760.0,171.0,258.0,179.0,179.0,99.0,200.5006,53.1154,183.4475,26.9119,24.1506,179.0,179.0,0.0,0.0,0.06,0.122,0.018,1,5,1
5702.0,169.0,219.0,199.0,199.0,139.0,184.0,72.1405,134.6477,55.0681,63.4232,199.0,199.0,0.0,0.0,0.1245,0.1325,0.025,1,3,0
2308.0,73.0,20.0,199.0,199.0,259.0,68.0661,134.6124,41.0,27.1662,62.2013,199.0,199.0,0.0,819.0,1.8132,1.8132,0.0123,10,3,0
4471.0,137.0,259.0,258.0,258.0,139.0,151.7934,173.6102,396.4089,254.0871,236.952,179.0,179.0,4871.0,616.0,0.1602,0.1602,0.0223,2,4,1
2535.0,78.0,219.0,399.0,598.0,239.0,85.2115,119.877,73.1095,26.5424,34.5145,319.0,319.0,2650.0,0.0,1.748,0.7675,0.008,10,8,0
9823.0,303.0,139.0,159.0,159.0,139.0,392.9125,431.6321,538.4097,142.088,122.2303,99.0,99.0,0.0,99.0,0.0785,0.1525,0.0194,1,3,1
6342.0,187.0,99.0,80.0,80.0,99.0,116.6812,162.5,100.6628,36.7865,35.3836,80.0,80.0,0.0,0.0,0.124,0.2895,0.0117,7,3,0
6065.0,179.0,80.0,80.0,80.0,139.0,137.2334,71.2531,69.857,69.2604,78.9462,80.0,80.0,0.0,0.0,0.1521,0.3516,0.0086,7,3,0
7954.0,247.0,0.0,159.0,159.0,99.0,0.0,246.6034,0.0,45.1054,46.0679,159.0,159.0,0.0,0.0,0.1183,0.2848,0.0964,2,3,0
9456.0,293.0,119.0,119.0,119.0,80.0,367.7479,226.1996,230.176,145.1766,143.014,119.0,119.0,0.0,0.0,0.1271,0.2636,0.0083,4,5,1
5976.0,178.0,179.0,159.0,159.0,258.0,97.2522,886.1072,60.8276,37.1652,41.7852,159.0,159.0,0.0,0.0,0.0651,0.0441,0.0119,1,9,1
2074.0,66.0,100.0,258.0,258.0,99.0,290.8509,82.0015,293.6154,87.6727,86.8058,139.0,139.0,4473.0,577.0,0.3264,0.2954,0.0139,2,1,1
741.0,22.0,139.0,139.0,139.0,239.0,152.1003,159.38,131.746,28.3064,25.5,80.0,80.0,239.0,876.0,0.0626,0.1391,0.0048,6,3,1
1.0,1.0,0.0,100.0,100.0,99.0,0.0,382.8998,0.0,62.0081,58.8218,100.0,100.0,0.0,0.0,0.0095,0.145,0.0131,4,3,1
9968.0,306.0,139.0,199.0,199.0,80.0,68.0827,169.105,115.5249,48.7571,63.5059,199.0,199.0,0.0,199.0,0.2,0.4,0.0133,6,3,1
2214.0,70.0,199.0,239.0,239.0,179.0,270.0468,1317.3121,268.561,6.7268,1206.8344,219.0,219.0,179.0,239.0,1.2674,2.0074,0.0178,8,4,1
5864.0,174.0,179.0,179.0,179.0,139.0,653.3062,95.6935,683.4574,27.8657,6.3246,199.0,199.0,557.0,557.0,0.127,0.127,0.02,3,2,0
5680.0,168.0,199.0,99.0,218.0,318.0,386.5,346.5274,423.0579,39.0512,32.3187,218.0,109.0,0.0,218.0,0.0835,0.154,0.0209,5,3,0
2460.0,77.0,518.0,20.0,20.0,140.0,245.3166,321.0876,238.0336,19.5,13.4629,159.0,159.0,617.0,338.0,-0.8475,-0.2355,0.014,5,4,0
272.0,8.0,278.0,239.0,239.0,100.0,127.501,60.6671,164.5387,47.1832,60.1851,239.0,239.0,0.0,0.0,0.2539,0.3719,0.0479,8,1,1
7840.0,241.0,80.0,119.0,119.0,119.0,457.8398,1464.488,341.0235,120.3007,120.0843,119.0,119.0,0.0,0.0,0.3498,0.2903,0.0559,2,6,0
9252.0,289.0,99.0,80.0,80.0,159.0,423.7313,152.2662,400.8441,37.726,34.907,99.0,99.0,80.0,198.0,0.1272,0.2227,0.0048,1,5,0
10017.0,306.0,99.0,179.0,179.0,80.0,101.8847,202.9495,137.6445,69.9518,71.044,139.0,139.0,0.0,1112.0,0.1875,0.193,0.0093,5,1,0
4208.0,134.0,159.0,219.0,219.0,159.0,179.747,230.895,154.1752,38.4708,46.4812,219.0,219.0,0.0,0.0,0.046,0.2075,0.0113,2,4,1
5568.0,166.0,179.0,139.0,537.0,139.0,788.9899,119.6547,963.668,174.1845,210.2879,537.0,179.0,0.0,417.0,0.037,0.106,0.0402,6,1,0
8659.0,275.0,99.0,159.0,159.0,219.0,281.2708,124.4689,310.6638,34.5579,22.102,159.0,159.0,558.0,0.0,0.0778,0.1053,0.0215,4,2,0
8141.0,254.0,159.0,179.0,318.0,139.0,109.2245,71.1214,149.8966,47.0239,37.2626,318.0,159.0,0.0,0.0,0.1764,0.2469,0.0627,8,1,1
531.0,17.0,0.0,99.0,99.0,99.0,0.0,276.6464,0.0,101.8835,95.0815,99.0,99.0,0.0,0.0,0.1243,0.1968,0.0214,1,1,1
9574.0,295.0,119.0,119.0,119.0,119.0,268.0532,129.1908,375.4797,128.0625,114.4246,119.0,119.0,0.0,0.0,0.1856,0.1786,0.0235,6,1,0
6934.0,210.0,99.0,159.0,159.0,139.0,169.1065,899.2031,96.4624,80.0156,76.0592,159.0,159.0,0.0,159.0,0.3973,0.2793,0.0426,1,9,1
10524.0,321.0,80.0,139.0,139.0,80.0,158.5008,388.3298,74.1687,83.5539,88.9452,139.0,139.0,1630.0,318.0,-0.0998,-0.0083,0.0139,4,3,0
6390.0,189.0,219.0,80.0,80.0,80.0,164.6003,211.0095,108.0046,58.6963,59.2558,80.0,80.0,0.0,0.0,0.1015,0.1765,0.0145,2,2,1
3686.0,115.0,179.0,80.0,80.0,80.0,573.6055,563.1174,620.2911,55.9017,56.8902,80.0,80.0,0.0,80.0,0.2485,0.3095,0.0163,7,2,0
10163.0,310.0,99.0,99.0,99.0,139.0,453.7744,148.6178,403.3175,54.6466,58.0452,99.0,99.0,0.0,0.0,0.1987,0.4172,0.0127,2,6,0
6326.0,187.0,119.0,179.0,179.0,298.0,138.0906,176.5574,52.2015,79.2465,68.3118,179.0,179.0,0.0,0.0,0.1845,0.12,0.0263,2,3,0
3431.0,105.0,139.0,179.0,259.0,219.0,102.3132,96.0833,88.0057,53.4462,65.8976,259.0,129.5,0.0,1192.0,0.3303,0.2183,0.0589,3,1,0
4915.0,150.0,179.0,239.0,239.0,199.0,100.6541,121.7508,85.3815,96.0833,105.0,258.0,258.0,1152.0,278.0,0.0356,0.2116,0.0232,3,1,0
248.0,7.0,318.0,258.0,258.0,159.0,183.5436,258.9295,15.6205,172.0705,171.8284,159.0,159.0,974.0,0.0,0.2839,0.5104,0.0285,3,2,1
6356.0,187.0,119.0,139.0,238.0,298.0,256.002,130.5153,326.2591,72.5603,67.0914,238.0,119.0,0.0,238.0,0.253,0.253,0.0349,10,1,1
704.0,22.0,80.0,139.0,139.0,139.0,408.0668,606.0101,386.0052,22.3271,17.088,139.0,139.0,9343.0,537.0,0.2051,0.2036,0.0083,9,7,0
8797.0,278.0,119.0,179.0,179.0,139.0,538.5165,698.5517,544.6476,20.3039,18.9737,179.0,179.0,616.0,0.0,0.2133,0.1913,0.0239,10,2,0
6425.0,190.0,80.0,80.0,80.0,119.0,449.2029,256.5448,400.3199,55.7584,71.2215,80.0,80.0,0.0,0.0,0.0854,0.1989,0.0163,2,4,0
9972.0,306.0,199.0,80.0,80.0,80.0,622.761,263.7698,731.4602,111.2621,123.9758,119.0,119.0,0.0,1431.0,0.197,0.4915,0.008,7,1,0
5040.0,153.0,179.0,179.0,179.0,119.0,135.1758,177.2907,31.6228,98.5114,78.748,179.0,179.0,0.0,0.0,0.4191,0.5746,0.0149,9,6,1
326.0,10.0,239.0,199.0,199.0,258.0,142.088,313.8571,49.0408,93.5909,97.9145,199.0,199.0,0.0,0.0,0.0129,0.0639,0.0341,1,4,1
909.0,28.0,99.0,119.0,119.0,80.0,150.2065,519.0323,18.7883,124.904,136.4441,119.0,119.0,0.0,0.0,0.1259,0.1529,0.0127,10,2,0
2616.0,78.0,120.0,379.0,379.0,359.0,384.7184,190.983,342.1637,54.8019,56.5796,438.0,438.0,22514.0,817.0,1.002,2.0375,0.011,10,4,0
164.0,5.0,119.0,199.0,199.0,219.0,293.3343,701.9238,210.0095,76.6632,59.1291,199.0,199.0,0.0,0.0,0.1855,0.1215,0.0178,10,8,0
6170.0,182.0,139.0,179.0,318.0,219.0,294.5819,261.4273,354.4573,73.1642,66.5676,298.0,298.0,0.0,298.0,0.0736,0.0526,0.0369,1,1,0
10770.0,332.0,0.0,139.0,139.0,139.0,0.0,159.5125,0.0,40.3268,45.8939,139.0,139.0,0.0,0.0,0.314,0.314,0.031,2,3,0
6325.0,187.0,99.0,119.0,119.0,179.0,178.1832,138.0906,79.1012,97.4025,75.4321,119.0,119.0,0.0,0.0,0.1845,0.12,0.0175,2,2,0
6717.0,200.0,119.0,80.0,80.0,119.0,60.92,216.2799,39.3192,26.4433,31.197,80.0,80.0,676.0,80.0,0.1006,0.1795,0.0177,10,3,0
